slang,normal,similarity
loloskan,meloloskan,0.6938904
butt,dubur,0.41785383
jutex,jutek,0.73905694
haziq,uia,0.7088972
benarrr,benar,0.593326
ramah2,ramah,0.6985112
uc,wh,0.5737789
gorangan,salaian,0.52027875
meluk,peluk,0.6615418
disinii,langkung,0.51837605
hong,liong,0.584665
yamg,yang,0.504157
direbus,rebus,0.731974
mimimal,minimal,0.6221948
ngetok,mengetok,0.7528139
nungguin,menunggu,0.6218506
matiin,nyala,0.5245921
zholim,zolim,0.8368594
hargaan,penghargaan,0.630816
bedua,berdua,0.59201795
hadeuh,edun,0.66449606
ihihihi,gitu,0.54452294
dihitung,menghitung,0.68447256
gadoh,ble,0.63059485
mouse,kursor,0.6754139
acong,kacong,0.72192883
gangu,ganggu,0.6578821
kerennn,keren,0.5985043
maaaa,toyor,0.49522936
miliki,anda,0.5971742
xs,dz,0.76279056
023,npsn,0.34810093
berbela,sungkawa,0.6664986
bukti2,bukti,0.72381425
trussss,gitu,0.53709024
ptr,smb,0.6725805
bangkek,singkek,0.65565306
victory,kemenangan,0.4219185
eweh,bawo,0.42146304
boti,biti,0.4745382
saingi,menyaingi,0.6386542
kwkwkw,hoho,0.6190006
ucapin,terima,0.62485576
ngambil,ambil,0.6819541
ngawal,mengawal,0.5924261
yee,hoho,0.59735125
dinasehatin,marahan,0.5826274
bedug,beduk,0.766952
51,pm,0.5620839
kristan,krista,0.60275084
beliu,beliau,0.6558423
fyi,sbm,0.6749852
soalanya,pertanyaan,0.5459917
balloon,buster,0.48145828
dudes,hentai,0.4933157
seharus,seharusnya,0.7048154
cosplay,anime,0.5124183
thank,makasih,0.5917354
lanjutannya,lanjutan,0.69899386
oho,cuh,0.7867845
euni,reuni,0.5171147
permudahkan,memudahkan,0.59947944
dlunya,beranya,0.56732017
shari,istihsan,0.4345335
shoreline,polihalin,0.45317635
toyib,ucok,0.5543732
keindahanmu,keindahan,0.6696709
nyuri,tuh,0.53393024
bahannya,bahan,0.7125768
roasting,penyangraian,0.5762488
vok,rsb,0.60350645
tired,hear,0.49494892
dewek,mawon,0.6336208
kemana2,bawa,0.48051307
trlihat,terlihat,0.5964986
kanojo,boku,0.5254351
screenshot,gambar,0.55565333
memerhati,menjeling,0.6816588
ditutup2i,terselenggarakan,0.53888804
solasi,bebat,0.5990174
xixixi,hoho,0.6663981
diluaran,luaran,0.6317555
carol,paul,0.4363086
menghancur,menghancurluluhkan,0.7818975
andra,adit,0.5856002
kaka,kakak,0.6971911
ituloh,tuh,0.5716256
kesekian,kali,0.5428279
dipikul,terpikul,0.7514921
jurucakap,peguam,0.6889053
spins,spin,0.51473767
cowo,cowok,0.7851448
please,tolong,0.50842273
penurus,menuruskan,0.64245075
kra,nua,0.475352
ditutup,tutup,0.6817939
depn,pi.,0.6111532
konomi,ekonomi,0.7346821
lindungkan,melindungkan,0.71273434
kerangnya,kerang,0.6341667
nitezen,netizen,0.47639275
dibaliknya,tersembunyi,0.5245923
kebukti,emang,0.66247827
nasionalismenya,nasionalisme,0.76498747
nelly,adeh,0.4831508
guel,tari,0.5549554
gausa,tausa,0.5749063
delicious,delit,0.42222187
watashi,boku,0.61913896
diorg,lps,0.6409664
tawadhu,tawadu,0.82340735
yaah,yah,0.6802245
ik,te,0.6188436
theresia,heresi,0.5403095
mgk,klw,0.7104289
o8,lkt,0.7838572
dolen,indolen,0.5928192
akhiri,mengakhiri,0.5857715
filam,dilam,0.52930975
ktnya,klw,0.7182222
uae,grk,0.7636921
berintraksi,berinteraksi,0.6455673
lahhh,hoho,0.73267394
engan,dengan,0.5392703
phan,timphan,0.52916527
daerag,daerah,0.6788421
lancarkan,melancarkan,0.6569485
alus,ngoko,0.5811817
brayan,prayang,0.660472
republika,republik,0.51017505
ngeplay,ngerol,0.6206022
excuse,say,0.4112505
akalnya,akal,0.7282578
difikirin,hatif,0.5171876
kemna,nabu,0.38992092
panes,sause,0.45607188
rosul,nabi,0.67504233
pertamax,bensin,0.56721073
gancet,bancet,0.61670786
meracuninya,meracuni,0.73642737
sedihnya,sedih,0.70569825
x500,cuik,0.45251736
noise,derau,0.5968978
tro,jurk,0.5803246
besr,besar,0.4358276
konglo,konglomerasi,0.5364547
aff,fifa,0.61502403
ngerusak,terusak,0.64578545
koncoku,konco,0.62640804
jatahku,jatah,0.63535196
setorkan,menyetorkan,0.7446447
every,person,0.43329424
digoyang,menggoyang,0.57842535
ngen,langen,0.5364135
rencanakan,rencana,0.7457787
wkt,tp,0.61078656
pembullyan,penganiaya,0.51338494
diam2,dia,0.46367425
ayolah,ayo,0.602103
chaos,kekacauan,0.49327743
katain,bilang,0.58056647
update,terbaru,0.5862655
egg,yolk,0.5932317
maps,map,0.50823385
penduduknya,penduduk,0.7391946
tugasnya,tugas,0.7621985
kawanya,kawan,0.6447848
melihatnya,melihat,0.78642136
nex,ktm,0.47276086
cnth,idp,0.6208732
dibiarkan,membiarkan,0.6346878
aseli,asli,0.51231116
setingannya,mangle,0.52964115
bentar2,benta,0.65801734
haii,caem,0.6022311
cewek2,cewek,0.65563816
iki,opo,0.64911103
gurl,kiut,0.73595154
seriusin,serius,0.6742094
kasihani,kasihan,0.7030173
dihotel,hotel,0.67968494
sekandung,saudara,0.6542841
kerajaan2,kerajaan,0.72062206
kex,lkt,0.9194378
prkatek,katek,0.5866738
duuuh,ihh,0.70847416
waalaupun,malau,0.6574613
guling2,guling,0.6114609
ngedengerin,mendengarkan,0.5596866
luh,lu,0.5747964
jumatnya,jumatan,0.78579116
merekalah,mereka,0.6327063
kacamatanya,kacamata,0.75890976
begerak,bergerak,0.757892
model2,model,0.6401782
nunggui,menunggui,0.6704453
roger,vloger,0.45481586
dituntut,tertuntut,0.7284989
kemanaa,kemanakan,0.5243168
babai,serabai,0.631839
haloo,halo,0.6227111
edgy,boho,0.63394505
og,ko,0.50013894
187,ibid,0.37283415
yakiin,yakin,0.54190516
transparent,transparan,0.5240036
4r,dz,0.697486
turah,lambe,0.6931027
elle,bois,0.5459977
dei,lago,0.40449157
arek2,arek,0.7838251
kumur2,kumur,0.7915442
hatimu,hati,0.5977661
adikku,aku,0.54918844
terangnya,terang,0.6758644
bandingkan,membanding,0.65016043
akaun,akun,0.5674537
brdiri,berdiri,0.6206963
semuga,moga,0.6921403
semoa,semoga,0.70556706
funky,trendi,0.5577557
78,kg,0.55345494
kasii,kasia,0.64190805
pantasnya,pantas,0.73493373
maenin,demen,0.57747495
tein,kismet,0.44464213
ketau,kalo,0.6258595
item2,item,0.6285487
ciki,gehu,0.6357359
cay,juhi,0.53795403
lgsg,klw,0.73920435
deee,edun,0.6223152
dosa2,dosa,0.7025186
klahiran,kelahiran,0.61200225
kaliman,kalimantang,0.63709605
naekin,sekin,0.5954618
clara,sinta,0.53437924
voi,yei,0.55053276
imah,ifah,0.50795066
shock,syok,0.59035295
kesukaanku,kesukaan,0.58393
gad,ehe,0.5749069
sheep,mohair,0.5042318
yaman,mekah,0.50272393
diferent,ligas,0.51068413
kerjaku,kerja,0.56306785
rare,langka,0.4442234
pejuh,kontol,0.56650734
asline,teral,0.6032917
nyambut,menyambut,0.6594833
teksi,bas,0.59781015
batasin,terbatasi,0.55873686
hilangin,hilang,0.6382951
nick,nama,0.36408207
ibuknya,ibuk,0.6196985
wasu,boma,0.4749629
humma,allahumma,0.79849017
husss,edun,0.6278223
baturaja,sekayu,0.6263513
aploud,majang,0.46536818
lepaslah,melepaskan,0.6147435
dilebarkan,menyerong,0.5185471
aws,afk,0.88569295
pejabat2,pejabat,0.75017315
setegar,tegar,0.66860193
tapsel,simalungun,0.58294564
kentir,kentong,0.55920315
dimensinya,dimensi,0.770996
buatpun,pun,0.68514824
sepikan,bertepikan,0.6540125
berenti,berhenti,0.57294345
aer,kaci,0.5299218
mereka2,sprt,0.5034134
maafin,maaf,0.5995044
bgni,aj.,0.74870574
ngilang,ilang,0.6515337
ikutnya,ikut,0.6280039
dikondisikan,terkondisikan,0.7545213
menasehati,menasihati,0.75029725
memojokan,pemojokan,0.73980427
logical,logika,0.55957764
terah,kebang,0.6012756
kesabarannya,kesabaran,0.7635605
terakus,terbuas,0.5829573
kake,kakek,0.58247817
gelinya,gelinjang,0.64893365
tanamkan,menanamkan,0.6902553
kbagian,tegmen,0.60829556
